Lugar de condena;Sexo del infractor;Periodo;Total
33 Asturias;Mujeres;2017;1.803
33 Asturias;Mujeres;2016;1.572
05 Ávila;Total;2022;1.045
05 Ávila;Total;2021;888
05 Ávila;Total;2020;680
05 Ávila;Total;2019;943
05 Ávila;Total;2018;909
05 Ávila;Total;2017;794
05 Ávila;Total;2016;730
05 Ávila;Hombres;2022;849
05 Ávila;Hombres;2021;748
05 Ávila;Hombres;2020;573
05 Ávila;Hombres;2019;795
05 Ávila;Hombres;2018;761
05 Ávila;Hombres;2017;662
05 Ávila;Hombres;2016;617
05 Ávila;Mujeres;2022;196
05 Ávila;Mujeres;2021;140
05 Ávila;Mujeres;2020;107
05 Ávila;Mujeres;2019;148
05 Ávila;Mujeres;2018;148
05 Ávila;Mujeres;2017;132
05 Ávila;Mujeres;2016;113
06 Badajoz;Total;2022;5.034
06 Badajoz;Total;2021;4.879
06 Badajoz;Total;2020;3.655
06 Badajoz;Total;2019;4.262
06 Badajoz;Total;2018;4.554
06 Badajoz;Total;2017;4.848
06 Badajoz;Total;2016;4.726
06 Badajoz;Hombres;2022;4.151
06 Badajoz;Hombres;2021;4.062
06 Badajoz;Hombres;2020;3.032
06 Badajoz;Hombres;2019;3.460
06 Badajoz;Hombres;2018;3.731
06 Badajoz;Hombres;2017;3.937
06 Badajoz;Hombres;2016;3.802
06 Badajoz;Mujeres;2022;883
06 Badajoz;Mujeres;2021;817
06 Badajoz;Mujeres;2020;623
06 Badajoz;Mujeres;2019;802
06 Badajoz;Mujeres;2018;823
06 Badajoz;Mujeres;2017;911
06 Badajoz;Mujeres;2016;924
07 Balears Illes;Total;2022;12.756
07 Balears Illes;Total;2021;12.818
07 Balears Illes;Total;2020;8.875
07 Balears Illes;Total;2019;11.735
07 Balears Illes;Total;2018;11.285
07 Balears Illes;Total;2017;11.216
07 Balears Illes;Total;2016;10.237
07 Balears Illes;Hombres;2022;10.436
07 Balears Illes;Hombres;2021;10.479
07 Balears Illes;Hombres;2020;7.289
07 Balears Illes;Hombres;2019;9.709
07 Balears Illes;Hombres;2018;9.230
07 Balears Illes;Hombres;2017;9.211
07 Balears Illes;Hombres;2016;8.672
