Provincias;Sexo;Periodo;Total
39 Cantabria;Total;1987;5.170
39 Cantabria;Total;1986;5.375
39 Cantabria;Total;1985;5.642
39 Cantabria;Total;1984;6.054
39 Cantabria;Total;1983;6.487
39 Cantabria;Total;1982;6.901
39 Cantabria;Total;1981;7.470
39 Cantabria;Total;1980;7.874
39 Cantabria;Total;1979;8.154
39 Cantabria;Total;1978;8.714
39 Cantabria;Total;1977;8.795
39 Cantabria;Total;1976;9.072
39 Cantabria;Total;1975;8.765
39 Cantabria;Hombres;2022;1.651
39 Cantabria;Hombres;2021;1.676
39 Cantabria;Hombres;2020;1.765
39 Cantabria;Hombres;2019;1.831
39 Cantabria;Hombres;2018;1.927
39 Cantabria;Hombres;2017;2.120
39 Cantabria;Hombres;2016;2.210
39 Cantabria;Hombres;2015;2.154
39 Cantabria;Hombres;2014;2.369
39 Cantabria;Hombres;2013;2.494
39 Cantabria;Hombres;2012;2.643
39 Cantabria;Hombres;2011;2.794
39 Cantabria;Hombres;2010;2.865
39 Cantabria;Hombres;2009;2.906
39 Cantabria;Hombres;2008;3.021
39 Cantabria;Hombres;2007;2.748
39 Cantabria;Hombres;2006;2.694
39 Cantabria;Hombres;2005;2.682
39 Cantabria;Hombres;2004;2.559
39 Cantabria;Hombres;2003;2.487
39 Cantabria;Hombres;2002;2.345
39 Cantabria;Hombres;2001;2.161
39 Cantabria;Hombres;2000;2.218
39 Cantabria;Hombres;1999;2.036
39 Cantabria;Hombres;1998;2.005
39 Cantabria;Hombres;1997;2.059
39 Cantabria;Hombres;1996;1.998
39 Cantabria;Hombres;1995;1.915
39 Cantabria;Hombres;1994;1.997
39 Cantabria;Hombres;1993;2.118
39 Cantabria;Hombres;1992;2.321
39 Cantabria;Hombres;1991;2.284
39 Cantabria;Hombres;1990;2.369
39 Cantabria;Hombres;1989;2.374
39 Cantabria;Hombres;1988;2.559
39 Cantabria;Hombres;1987;2.679
39 Cantabria;Hombres;1986;2.823
39 Cantabria;Hombres;1985;2.935
39 Cantabria;Hombres;1984;3.161
39 Cantabria;Hombres;1983;3.376
39 Cantabria;Hombres;1982;3.575
39 Cantabria;Hombres;1981;3.912
39 Cantabria;Hombres;1980;4.120
39 Cantabria;Hombres;1979;4.205
39 Cantabria;Hombres;1978;4.469
39 Cantabria;Hombres;1977;4.533
39 Cantabria;Hombres;1976;4.631
39 Cantabria;Hombres;1975;4.536
39 Cantabria;Mujeres;2022;1.573
39 Cantabria;Mujeres;2021;1.609
39 Cantabria;Mujeres;2020;1.642
39 Cantabria;Mujeres;2019;1.716
39 Cantabria;Mujeres;2018;1.878
39 Cantabria;Mujeres;2017;1.998
39 Cantabria;Mujeres;2016;2.034
39 Cantabria;Mujeres;2015;2.221
39 Cantabria;Mujeres;2014;2.196
39 Cantabria;Mujeres;2013;2.337
39 Cantabria;Mujeres;2012;2.421
39 Cantabria;Mujeres;2011;2.550
39 Cantabria;Mujeres;2010;2.710
39 Cantabria;Mujeres;2009;2.713
39 Cantabria;Mujeres;2008;2.865
39 Cantabria;Mujeres;2007;2.631
39 Cantabria;Mujeres;2006;2.535
39 Cantabria;Mujeres;2005;2.585
39 Cantabria;Mujeres;2004;2.501
39 Cantabria;Mujeres;2003;2.386
39 Cantabria;Mujeres;2002;2.215
39 Cantabria;Mujeres;2001;2.119
39 Cantabria;Mujeres;2000;2.123
39 Cantabria;Mujeres;1999;1.985
39 Cantabria;Mujeres;1998;1.830
39 Cantabria;Mujeres;1997;1.840
39 Cantabria;Mujeres;1996;1.861
39 Cantabria;Mujeres;1995;1.819
39 Cantabria;Mujeres;1994;1.810
39 Cantabria;Mujeres;1993;1.999
39 Cantabria;Mujeres;1992;1.990
39 Cantabria;Mujeres;1991;2.057
39 Cantabria;Mujeres;1990;2.207
39 Cantabria;Mujeres;1989;2.237
39 Cantabria;Mujeres;1988;2.421
39 Cantabria;Mujeres;1987;2.491
39 Cantabria;Mujeres;1986;2.552
39 Cantabria;Mujeres;1985;2.707
39 Cantabria;Mujeres;1984;2.893
39 Cantabria;Mujeres;1983;3.111
39 Cantabria;Mujeres;1982;3.326
39 Cantabria;Mujeres;1981;3.558
39 Cantabria;Mujeres;1980;3.754
39 Cantabria;Mujeres;1979;3.949
39 Cantabria;Mujeres;1978;4.245
39 Cantabria;Mujeres;1977;4.262
39 Cantabria;Mujeres;1976;4.441
39 Cantabria;Mujeres;1975;4.229
12 Castellón/Castelló;Total;2022;4.178
12 Castellón/Castelló;Total;2021;4.063
12 Castellón/Castelló;Total;2020;4.164
12 Castellón/Castelló;Total;2019;4.444
12 Castellón/Castelló;Total;2018;4.580
12 Castellón/Castelló;Total;2017;4.785
12 Castellón/Castelló;Total;2016;5.103
12 Castellón/Castelló;Total;2015;5.098
12 Castellón/Castelló;Total;2014;5.367
12 Castellón/Castelló;Total;2013;5.470
12 Castellón/Castelló;Total;2012;5.818
12 Castellón/Castelló;Total;2011;6.115
12 Castellón/Castelló;Total;2010;6.320
12 Castellón/Castelló;Total;2009;6.571
12 Castellón/Castelló;Total;2008;7.206
12 Castellón/Castelló;Total;2007;6.687
12 Castellón/Castelló;Total;2006;6.686
12 Castellón/Castelló;Total;2005;6.009
12 Castellón/Castelló;Total;2004;5.685
12 Castellón/Castelló;Total;2003;5.600
12 Castellón/Castelló;Total;2002;5.400
12 Castellón/Castelló;Total;2001;4.967
12 Castellón/Castelló;Total;2000;4.642
12 Castellón/Castelló;Total;1999;4.514
12 Castellón/Castelló;Total;1998;4.314
12 Castellón/Castelló;Total;1997;4.306
12 Castellón/Castelló;Total;1996;4.209
12 Castellón/Castelló;Total;1995;4.241
12 Castellón/Castelló;Total;1994;4.145
12 Castellón/Castelló;Total;1993;4.328
12 Castellón/Castelló;Total;1992;4.320
12 Castellón/Castelló;Total;1991;4.358
12 Castellón/Castelló;Total;1990;4.349
12 Castellón/Castelló;Total;1989;4.418
12 Castellón/Castelló;Total;1988;4.470
12 Castellón/Castelló;Total;1987;4.746
12 Castellón/Castelló;Total;1986;4.651
12 Castellón/Castelló;Total;1985;4.819
12 Castellón/Castelló;Total;1984;5.116
12 Castellón/Castelló;Total;1983;5.212
12 Castellón/Castelló;Total;1982;5.636
12 Castellón/Castelló;Total;1981;5.946
12 Castellón/Castelló;Total;1980;6.399
12 Castellón/Castelló;Total;1979;6.828
12 Castellón/Castelló;Total;1978;7.020
12 Castellón/Castelló;Total;1977;7.040
12 Castellón/Castelló;Total;1976;7.245
12 Castellón/Castelló;Total;1975;6.853
12 Castellón/Castelló;Hombres;2022;2.135
12 Castellón/Castelló;Hombres;2021;2.083
12 Castellón/Castelló;Hombres;2020;2.147
12 Castellón/Castelló;Hombres;2019;2.314
12 Castellón/Castelló;Hombres;2018;2.372
12 Castellón/Castelló;Hombres;2017;2.520
12 Castellón/Castelló;Hombres;2016;2.586
12 Castellón/Castelló;Hombres;2015;2.603
12 Castellón/Castelló;Hombres;2014;2.785
12 Castellón/Castelló;Hombres;2013;2.808
12 Castellón/Castelló;Hombres;2012;2.999
12 Castellón/Castelló;Hombres;2011;3.213
12 Castellón/Castelló;Hombres;2010;3.228
12 Castellón/Castelló;Hombres;2009;3.414
12 Castellón/Castelló;Hombres;2008;3.760
12 Castellón/Castelló;Hombres;2007;3.457
12 Castellón/Castelló;Hombres;2006;3.388
12 Castellón/Castelló;Hombres;2005;3.109
12 Castellón/Castelló;Hombres;2004;2.907
12 Castellón/Castelló;Hombres;2003;2.897
12 Castellón/Castelló;Hombres;2002;2.744
12 Castellón/Castelló;Hombres;2001;2.548
12 Castellón/Castelló;Hombres;2000;2.341
12 Castellón/Castelló;Hombres;1999;2.318
12 Castellón/Castelló;Hombres;1998;2.206
12 Castellón/Castelló;Hombres;1997;2.223
12 Castellón/Castelló;Hombres;1996;2.165
12 Castellón/Castelló;Hombres;1995;2.203
12 Castellón/Castelló;Hombres;1994;2.125
12 Castellón/Castelló;Hombres;1993;2.221
12 Castellón/Castelló;Hombres;1992;2.233
12 Castellón/Castelló;Hombres;1991;2.247
12 Castellón/Castelló;Hombres;1990;2.185
12 Castellón/Castelló;Hombres;1989;2.273
12 Castellón/Castelló;Hombres;1988;2.250
12 Castellón/Castelló;Hombres;1987;2.445
12 Castellón/Castelló;Hombres;1986;2.485
12 Castellón/Castelló;Hombres;1985;2.536
12 Castellón/Castelló;Hombres;1984;2.713
12 Castellón/Castelló;Hombres;1983;2.701
12 Castellón/Castelló;Hombres;1982;2.929
12 Castellón/Castelló;Hombres;1981;3.119
12 Castellón/Castelló;Hombres;1980;3.288
12 Castellón/Castelló;Hombres;1979;3.530
12 Castellón/Castelló;Hombres;1978;3.620
12 Castellón/Castelló;Hombres;1977;3.624
12 Castellón/Castelló;Hombres;1976;3.816
12 Castellón/Castelló;Hombres;1975;3.485
12 Castellón/Castelló;Mujeres;2022;2.043
12 Castellón/Castelló;Mujeres;2021;1.980
12 Castellón/Castelló;Mujeres;2020;2.017
12 Castellón/Castelló;Mujeres;2019;2.130
12 Castellón/Castelló;Mujeres;2018;2.208
12 Castellón/Castelló;Mujeres;2017;2.265
12 Castellón/Castelló;Mujeres;2016;2.517
12 Castellón/Castelló;Mujeres;2015;2.495
12 Castellón/Castelló;Mujeres;2014;2.582
12 Castellón/Castelló;Mujeres;2013;2.662
12 Castellón/Castelló;Mujeres;2012;2.819
12 Castellón/Castelló;Mujeres;2011;2.902
12 Castellón/Castelló;Mujeres;2010;3.092
12 Castellón/Castelló;Mujeres;2009;3.157
12 Castellón/Castelló;Mujeres;2008;3.446
12 Castellón/Castelló;Mujeres;2007;3.230
12 Castellón/Castelló;Mujeres;2006;3.298
12 Castellón/Castelló;Mujeres;2005;2.900
12 Castellón/Castelló;Mujeres;2004;2.778
12 Castellón/Castelló;Mujeres;2003;2.703
12 Castellón/Castelló;Mujeres;2002;2.656
12 Castellón/Castelló;Mujeres;2001;2.419
12 Castellón/Castelló;Mujeres;2000;2.301
12 Castellón/Castelló;Mujeres;1999;2.196
12 Castellón/Castelló;Mujeres;1998;2.108
12 Castellón/Castelló;Mujeres;1997;2.083
12 Castellón/Castelló;Mujeres;1996;2.044
12 Castellón/Castelló;Mujeres;1995;2.038
12 Castellón/Castelló;Mujeres;1994;2.020
12 Castellón/Castelló;Mujeres;1993;2.107
12 Castellón/Castelló;Mujeres;1992;2.087
12 Castellón/Castelló;Mujeres;1991;2.111
12 Castellón/Castelló;Mujeres;1990;2.164
12 Castellón/Castelló;Mujeres;1989;2.145
12 Castellón/Castelló;Mujeres;1988;2.220
12 Castellón/Castelló;Mujeres;1987;2.301
12 Castellón/Castelló;Mujeres;1986;2.166
12 Castellón/Castelló;Mujeres;1985;2.283
12 Castellón/Castelló;Mujeres;1984;2.403
12 Castellón/Castelló;Mujeres;1983;2.511
12 Castellón/Castelló;Mujeres;1982;2.707
12 Castellón/Castelló;Mujeres;1981;2.827
12 Castellón/Castelló;Mujeres;1980;3.111
12 Castellón/Castelló;Mujeres;1979;3.298
12 Castellón/Castelló;Mujeres;1978;3.400
12 Castellón/Castelló;Mujeres;1977;3.416
12 Castellón/Castelló;Mujeres;1976;3.429
12 Castellón/Castelló;Mujeres;1975;3.368
13 Ciudad Real;Total;2022;3.339
13 Ciudad Real;Total;2021;3.494
13 Ciudad Real;Total;2020;3.412
13 Ciudad Real;Total;2019;3.578
13 Ciudad Real;Total;2018;3.676
13 Ciudad Real;Total;2017;4.013
13 Ciudad Real;Total;2016;4.258
13 Ciudad Real;Total;2015;4.325
13 Ciudad Real;Total;2014;4.245
13 Ciudad Real;Total;2013;4.588
13 Ciudad Real;Total;2012;4.889
13 Ciudad Real;Total;2011;5.048
13 Ciudad Real;Total;2010;5.183
13 Ciudad Real;Total;2009;5.290
13 Ciudad Real;Total;2008;5.647
13 Ciudad Real;Total;2007;5.101
13 Ciudad Real;Total;2006;5.141
13 Ciudad Real;Total;2005;4.905
13 Ciudad Real;Total;2004;4.734
13 Ciudad Real;Total;2003;4.523
13 Ciudad Real;Total;2002;4.386
13 Ciudad Real;Total;2001;4.460
13 Ciudad Real;Total;2000;4.480
13 Ciudad Real;Total;1999;4.561
13 Ciudad Real;Total;1998;4.597
13 Ciudad Real;Total;1997;4.788
13 Ciudad Real;Total;1996;4.818
13 Ciudad Real;Total;1995;5.130
13 Ciudad Real;Total;1994;5.394
13 Ciudad Real;Total;1993;5.555
13 Ciudad Real;Total;1992;5.702
13 Ciudad Real;Total;1991;5.837
13 Ciudad Real;Total;1990;5.886
13 Ciudad Real;Total;1989;6.052
13 Ciudad Real;Total;1988;6.084
13 Ciudad Real;Total;1987;6.085
13 Ciudad Real;Total;1986;6.176
13 Ciudad Real;Total;1985;6.295
13 Ciudad Real;Total;1984;6.484
13 Ciudad Real;Total;1983;6.617
13 Ciudad Real;Total;1982;6.710
13 Ciudad Real;Total;1981;6.823
13 Ciudad Real;Total;1980;6.902
13 Ciudad Real;Total;1979;7.131
13 Ciudad Real;Total;1978;7.248
13 Ciudad Real;Total;1977;7.239
13 Ciudad Real;Total;1976;7.541
13 Ciudad Real;Total;1975;7.663
13 Ciudad Real;Hombres;2022;1.753
13 Ciudad Real;Hombres;2021;1.789
13 Ciudad Real;Hombres;2020;1.764
13 Ciudad Real;Hombres;2019;1.849
13 Ciudad Real;Hombres;2018;1.899
13 Ciudad Real;Hombres;2017;2.144
13 Ciudad Real;Hombres;2016;2.184
13 Ciudad Real;Hombres;2015;2.148
13 Ciudad Real;Hombres;2014;2.192
13 Ciudad Real;Hombres;2013;2.355
13 Ciudad Real;Hombres;2012;2.459
13 Ciudad Real;Hombres;2011;2.596
13 Ciudad Real;Hombres;2010;2.614
13 Ciudad Real;Hombres;2009;2.728
13 Ciudad Real;Hombres;2008;2.881
13 Ciudad Real;Hombres;2007;2.574
13 Ciudad Real;Hombres;2006;2.673
13 Ciudad Real;Hombres;2005;2.529
13 Ciudad Real;Hombres;2004;2.492
13 Ciudad Real;Hombres;2003;2.328
13 Ciudad Real;Hombres;2002;2.271
13 Ciudad Real;Hombres;2001;2.315
13 Ciudad Real;Hombres;2000;2.364
13 Ciudad Real;Hombres;1999;2.296
13 Ciudad Real;Hombres;1998;2.391
13 Ciudad Real;Hombres;1997;2.433
13 Ciudad Real;Hombres;1996;2.499
13 Ciudad Real;Hombres;1995;2.656
13 Ciudad Real;Hombres;1994;2.836
13 Ciudad Real;Hombres;1993;2.876
13 Ciudad Real;Hombres;1992;2.906
13 Ciudad Real;Hombres;1991;3.025
13 Ciudad Real;Hombres;1990;3.024
13 Ciudad Real;Hombres;1989;3.046
13 Ciudad Real;Hombres;1988;3.176
13 Ciudad Real;Hombres;1987;3.133
13 Ciudad Real;Hombres;1986;3.233
13 Ciudad Real;Hombres;1985;3.186
13 Ciudad Real;Hombres;1984;3.448
13 Ciudad Real;Hombres;1983;3.435
13 Ciudad Real;Hombres;1982;3.508
13 Ciudad Real;Hombres;1981;3.543
13 Ciudad Real;Hombres;1980;3.652
13 Ciudad Real;Hombres;1979;3.695
13 Ciudad Real;Hombres;1978;3.798
13 Ciudad Real;Hombres;1977;3.767
13 Ciudad Real;Hombres;1976;3.850
13 Ciudad Real;Hombres;1975;3.978
13 Ciudad Real;Mujeres;2022;1.586
13 Ciudad Real;Mujeres;2021;1.705
13 Ciudad Real;Mujeres;2020;1.648
13 Ciudad Real;Mujeres;2019;1.729
13 Ciudad Real;Mujeres;2018;1.777
13 Ciudad Real;Mujeres;2017;1.869
13 Ciudad Real;Mujeres;2016;2.074
13 Ciudad Real;Mujeres;2015;2.177
13 Ciudad Real;Mujeres;2014;2.053
13 Ciudad Real;Mujeres;2013;2.233
13 Ciudad Real;Mujeres;2012;2.430
13 Ciudad Real;Mujeres;2011;2.452
13 Ciudad Real;Mujeres;2010;2.569
13 Ciudad Real;Mujeres;2009;2.562
13 Ciudad Real;Mujeres;2008;2.766
13 Ciudad Real;Mujeres;2007;2.527
13 Ciudad Real;Mujeres;2006;2.468
13 Ciudad Real;Mujeres;2005;2.376
13 Ciudad Real;Mujeres;2004;2.242
13 Ciudad Real;Mujeres;2003;2.195
13 Ciudad Real;Mujeres;2002;2.115
13 Ciudad Real;Mujeres;2001;2.145
13 Ciudad Real;Mujeres;2000;2.116
13 Ciudad Real;Mujeres;1999;2.265
13 Ciudad Real;Mujeres;1998;2.206
13 Ciudad Real;Mujeres;1997;2.355
13 Ciudad Real;Mujeres;1996;2.319
13 Ciudad Real;Mujeres;1995;2.474
13 Ciudad Real;Mujeres;1994;2.558
13 Ciudad Real;Mujeres;1993;2.679
13 Ciudad Real;Mujeres;1992;2.796
13 Ciudad Real;Mujeres;1991;2.812
13 Ciudad Real;Mujeres;1990;2.862
13 Ciudad Real;Mujeres;1989;3.006
13 Ciudad Real;Mujeres;1988;2.908
13 Ciudad Real;Mujeres;1987;2.952
13 Ciudad Real;Mujeres;1986;2.943
13 Ciudad Real;Mujeres;1985;3.109
13 Ciudad Real;Mujeres;1984;3.036
13 Ciudad Real;Mujeres;1983;3.182
13 Ciudad Real;Mujeres;1982;3.202
13 Ciudad Real;Mujeres;1981;3.280
13 Ciudad Real;Mujeres;1980;3.250
13 Ciudad Real;Mujeres;1979;3.436
13 Ciudad Real;Mujeres;1978;3.450
13 Ciudad Real;Mujeres;1977;3.472
13 Ciudad Real;Mujeres;1976;3.691
13 Ciudad Real;Mujeres;1975;3.685
14 Córdoba;Total;2022;5.578
14 Córdoba;Total;2021;5.799
14 Córdoba;Total;2020;5.649
14 Córdoba;Total;2019;5.998
14 Córdoba;Total;2018;6.209
14 Córdoba;Total;2017;6.497
14 Córdoba;Total;2016;6.901
14 Córdoba;Total;2015;7.050
14 Córdoba;Total;2014;7.178
14 Córdoba;Total;2013;7.167
14 Córdoba;Total;2012;7.519
14 Córdoba;Total;2011;7.919
14 Córdoba;Total;2010;7.907
14 Córdoba;Total;2009;8.309
14 Córdoba;Total;2008;8.679
14 Córdoba;Total;2007;8.312
14 Córdoba;Total;2006;8.566
14 Córdoba;Total;2005;8.278
14 Córdoba;Total;2004;8.104
14 Córdoba;Total;2003;8.174
14 Córdoba;Total;2002;7.885
14 Córdoba;Total;2001;7.858
14 Córdoba;Total;2000;7.988
14 Córdoba;Total;1999;7.951
14 Córdoba;Total;1998;8.078
14 Córdoba;Total;1997;8.062
14 Córdoba;Total;1996;8.077
14 Córdoba;Total;1995;8.258
14 Córdoba;Total;1994;8.884
14 Córdoba;Total;1993;9.389
14 Córdoba;Total;1992;9.736
14 Córdoba;Total;1991;9.571
14 Córdoba;Total;1990;9.809
14 Córdoba;Total;1989;9.908
14 Córdoba;Total;1988;10.060
14 Córdoba;Total;1987;9.981
14 Córdoba;Total;1986;10.241
14 Córdoba;Total;1985;10.328
14 Córdoba;Total;1984;10.884
14 Córdoba;Total;1983;10.804
14 Córdoba;Total;1982;11.399
14 Córdoba;Total;1981;11.406
14 Córdoba;Total;1980;11.832
14 Córdoba;Total;1979;12.129
14 Córdoba;Total;1978;12.438
14 Córdoba;Total;1977;12.542
14 Córdoba;Total;1976;12.781
14 Córdoba;Total;1975;12.692
14 Córdoba;Hombres;2022;2.852
14 Córdoba;Hombres;2021;2.912
14 Córdoba;Hombres;2020;2.872
14 Córdoba;Hombres;2019;3.091
14 Córdoba;Hombres;2018;3.160
14 Córdoba;Hombres;2017;3.426
14 Córdoba;Hombres;2016;3.530
14 Córdoba;Hombres;2015;3.577
14 Córdoba;Hombres;2014;3.693
14 Córdoba;Hombres;2013;3.706
14 Córdoba;Hombres;2012;3.877
14 Córdoba;Hombres;2011;4.114
14 Córdoba;Hombres;2010;4.044
14 Córdoba;Hombres;2009;4.297
14 Córdoba;Hombres;2008;4.536
14 Córdoba;Hombres;2007;4.322
14 Córdoba;Hombres;2006;4.443
14 Córdoba;Hombres;2005;4.269
14 Córdoba;Hombres;2004;4.244
14 Córdoba;Hombres;2003;4.228
14 Córdoba;Hombres;2002;4.074
14 Córdoba;Hombres;2001;3.965
14 Córdoba;Hombres;2000;4.133
14 Córdoba;Hombres;1999;4.127
14 Córdoba;Hombres;1998;4.258
14 Córdoba;Hombres;1997;4.131
14 Córdoba;Hombres;1996;4.172
14 Córdoba;Hombres;1995;4.322
14 Córdoba;Hombres;1994;4.607
14 Córdoba;Hombres;1993;4.820
14 Córdoba;Hombres;1992;5.009
14 Córdoba;Hombres;1991;4.941
14 Córdoba;Hombres;1990;5.073
14 Córdoba;Hombres;1989;5.129
14 Córdoba;Hombres;1988;5.326
14 Córdoba;Hombres;1987;5.130
14 Córdoba;Hombres;1986;5.257
14 Córdoba;Hombres;1985;5.299
14 Córdoba;Hombres;1984;5.629
14 Córdoba;Hombres;1983;5.550
14 Córdoba;Hombres;1982;5.836
14 Córdoba;Hombres;1981;5.909
14 Córdoba;Hombres;1980;6.172
14 Córdoba;Hombres;1979;6.340
14 Córdoba;Hombres;1978;6.453
14 Córdoba;Hombres;1977;6.418
14 Córdoba;Hombres;1976;6.548
14 Córdoba;Hombres;1975;6.619
14 Córdoba;Mujeres;2022;2.726
14 Córdoba;Mujeres;2021;2.887
14 Córdoba;Mujeres;2020;2.777
14 Córdoba;Mujeres;2019;2.907
14 Córdoba;Mujeres;2018;3.049
14 Córdoba;Mujeres;2017;3.071
14 Córdoba;Mujeres;2016;3.371
14 Córdoba;Mujeres;2015;3.473
14 Córdoba;Mujeres;2014;3.485
14 Córdoba;Mujeres;2013;3.461
14 Córdoba;Mujeres;2012;3.642
14 Córdoba;Mujeres;2011;3.805
14 Córdoba;Mujeres;2010;3.863
14 Córdoba;Mujeres;2009;4.012
14 Córdoba;Mujeres;2008;4.143
14 Córdoba;Mujeres;2007;3.990
14 Córdoba;Mujeres;2006;4.123
14 Córdoba;Mujeres;2005;4.009
14 Córdoba;Mujeres;2004;3.860
14 Córdoba;Mujeres;2003;3.946
14 Córdoba;Mujeres;2002;3.811
14 Córdoba;Mujeres;2001;3.893
14 Córdoba;Mujeres;2000;3.855
14 Córdoba;Mujeres;1999;3.824
14 Córdoba;Mujeres;1998;3.820
14 Córdoba;Mujeres;1997;3.931
14 Córdoba;Mujeres;1996;3.905
14 Córdoba;Mujeres;1995;3.936
14 Córdoba;Mujeres;1994;4.277
14 Córdoba;Mujeres;1993;4.569
14 Córdoba;Mujeres;1992;4.727
14 Córdoba;Mujeres;1991;4.630
14 Córdoba;Mujeres;1990;4.736
14 Córdoba;Mujeres;1989;4.779
14 Córdoba;Mujeres;1988;4.734
14 Córdoba;Mujeres;1987;4.851
14 Córdoba;Mujeres;1986;4.984
14 Córdoba;Mujeres;1985;5.029
14 Córdoba;Mujeres;1984;5.255
14 Córdoba;Mujeres;1983;5.254
14 Córdoba;Mujeres;1982;5.563
14 Córdoba;Mujeres;1981;5.497
14 Córdoba;Mujeres;1980;5.660
14 Córdoba;Mujeres;1979;5.789
14 Córdoba;Mujeres;1978;5.985
14 Córdoba;Mujeres;1977;6.124
14 Córdoba;Mujeres;1976;6.233
14 Córdoba;Mujeres;1975;6.073
15 Coruña A;Total;2022;6.159
15 Coruña A;Total;2021;6.318
15 Coruña A;Total;2020;6.458
15 Coruña A;Total;2019;6.614
15 Coruña A;Total;2018;7.132
15 Coruña A;Total;2017;7.745
15 Coruña A;Total;2016;8.339
15 Coruña A;Total;2015;8.386
15 Coruña A;Total;2014;8.228
15 Coruña A;Total;2013;8.450
15 Coruña A;Total;2012;8.992
15 Coruña A;Total;2011;9.258
15 Coruña A;Total;2010;9.372
15 Coruña A;Total;2009;9.562
15 Coruña A;Total;2008;9.825
15 Coruña A;Total;2007;9.026
15 Coruña A;Total;2006;8.985
15 Coruña A;Total;2005;8.816
15 Coruña A;Total;2004;8.546
15 Coruña A;Total;2003;8.326
15 Coruña A;Total;2002;7.866
15 Coruña A;Total;2001;7.956
15 Coruña A;Total;2000;7.943
15 Coruña A;Total;1999;7.583
15 Coruña A;Total;1998;7.573
15 Coruña A;Total;1997;7.565
15 Coruña A;Total;1996;7.385
15 Coruña A;Total;1995;7.464
15 Coruña A;Total;1994;7.737
15 Coruña A;Total;1993;8.522
15 Coruña A;Total;1992;8.616
15 Coruña A;Total;1991;8.654
15 Coruña A;Total;1990;9.006
15 Coruña A;Total;1989;9.309
15 Coruña A;Total;1988;9.854
15 Coruña A;Total;1987;10.469
15 Coruña A;Total;1986;10.331
15 Coruña A;Total;1985;11.377
15 Coruña A;Total;1984;12.439
15 Coruña A;Total;1983;13.104
15 Coruña A;Total;1982;14.157
15 Coruña A;Total;1981;14.976
15 Coruña A;Total;1980;15.497
15 Coruña A;Total;1979;16.681
15 Coruña A;Total;1978;18.100
15 Coruña A;Total;1977;18.114
15 Coruña A;Total;1976;18.450
15 Coruña A;Total;1975;18.232
15 Coruña A;Hombres;2022;3.102
15 Coruña A;Hombres;2021;3.244
15 Coruña A;Hombres;2020;3.294
15 Coruña A;Hombres;2019;3.398
15 Coruña A;Hombres;2018;3.713
15 Coruña A;Hombres;2017;3.958
15 Coruña A;Hombres;2016;4.244
15 Coruña A;Hombres;2015;4.309
15 Coruña A;Hombres;2014;4.317
15 Coruña A;Hombres;2013;4.313
15 Coruña A;Hombres;2012;4.722
15 Coruña A;Hombres;2011;4.861
15 Coruña A;Hombres;2010;4.843
15 Coruña A;Hombres;2009;4.907
15 Coruña A;Hombres;2008;5.144
15 Coruña A;Hombres;2007;4.680
15 Coruña A;Hombres;2006;4.645
15 Coruña A;Hombres;2005;4.531
15 Coruña A;Hombres;2004;4.451
15 Coruña A;Hombres;2003;4.318
15 Coruña A;Hombres;2002;4.053
15 Coruña A;Hombres;2001;4.047
15 Coruña A;Hombres;2000;4.137
15 Coruña A;Hombres;1999;3.896
15 Coruña A;Hombres;1998;3.942
15 Coruña A;Hombres;1997;3.934
15 Coruña A;Hombres;1996;3.795
15 Coruña A;Hombres;1995;3.797
15 Coruña A;Hombres;1994;3.932
15 Coruña A;Hombres;1993;4.351
15 Coruña A;Hombres;1992;4.449
15 Coruña A;Hombres;1991;4.526
15 Coruña A;Hombres;1990;4.613
15 Coruña A;Hombres;1989;4.883
15 Coruña A;Hombres;1988;5.056
15 Coruña A;Hombres;1987;5.440
15 Coruña A;Hombres;1986;5.372
15 Coruña A;Hombres;1985;5.889
15 Coruña A;Hombres;1984;6.395
15 Coruña A;Hombres;1983;6.702
15 Coruña A;Hombres;1982;7.435
15 Coruña A;Hombres;1981;7.940
15 Coruña A;Hombres;1980;8.078
15 Coruña A;Hombres;1979;8.603
15 Coruña A;Hombres;1978;9.267
15 Coruña A;Hombres;1977;9.480
15 Coruña A;Hombres;1976;9.493
15 Coruña A;Hombres;1975;9.372
15 Coruña A;Mujeres;2022;3.057
15 Coruña A;Mujeres;2021;3.074
15 Coruña A;Mujeres;2020;3.164
15 Coruña A;Mujeres;2019;3.216
15 Coruña A;Mujeres;2018;3.419
15 Coruña A;Mujeres;2017;3.787
15 Coruña A;Mujeres;2016;4.095
15 Coruña A;Mujeres;2015;4.077
15 Coruña A;Mujeres;2014;3.911
15 Coruña A;Mujeres;2013;4.137
15 Coruña A;Mujeres;2012;4.270
15 Coruña A;Mujeres;2011;4.397
15 Coruña A;Mujeres;2010;4.529
15 Coruña A;Mujeres;2009;4.655
15 Coruña A;Mujeres;2008;4.681
15 Coruña A;Mujeres;2007;4.346
15 Coruña A;Mujeres;2006;4.340
15 Coruña A;Mujeres;2005;4.285
15 Coruña A;Mujeres;2004;4.095
15 Coruña A;Mujeres;2003;4.008
15 Coruña A;Mujeres;2002;3.813
15 Coruña A;Mujeres;2001;3.909
15 Coruña A;Mujeres;2000;3.806
15 Coruña A;Mujeres;1999;3.687
15 Coruña A;Mujeres;1998;3.631
15 Coruña A;Mujeres;1997;3.631
15 Coruña A;Mujeres;1996;3.590
15 Coruña A;Mujeres;1995;3.667
