Provincias;Sexo;Periodo;Total
Total;Mujeres;1990;193.930
Total;Mujeres;1989;197.233
Total;Mujeres;1988;202.212
Total;Mujeres;1987;205.485
Total;Mujeres;1986;211.574
Total;Mujeres;1985;220.069
Total;Mujeres;1984;227.230
Total;Mujeres;1983;233.767
Total;Mujeres;1982;247.067
Total;Mujeres;1981;254.833
Total;Mujeres;1980;274.794
Total;Mujeres;1979;291.081
Total;Mujeres;1978;307.113
Total;Mujeres;1977;317.256
Total;Mujeres;1976;328.224
Total;Mujeres;1975;322.992
02 Albacete;Total;2022;2.698
02 Albacete;Total;2021;2.790
02 Albacete;Total;2020;2.773
02 Albacete;Total;2019;2.872
02 Albacete;Total;2018;3.040
02 Albacete;Total;2017;3.219
02 Albacete;Total;2016;3.359
02 Albacete;Total;2015;3.476
02 Albacete;Total;2014;3.576
02 Albacete;Total;2013;3.598
02 Albacete;Total;2012;3.698
02 Albacete;Total;2011;3.952
02 Albacete;Total;2010;4.051
02 Albacete;Total;2009;4.151
02 Albacete;Total;2008;4.092
02 Albacete;Total;2007;3.682
02 Albacete;Total;2006;4.009
02 Albacete;Total;2005;3.753
02 Albacete;Total;2004;3.650
02 Albacete;Total;2003;3.811
02 Albacete;Total;2002;3.694
02 Albacete;Total;2001;3.637
02 Albacete;Total;2000;3.664
02 Albacete;Total;1999;3.666
02 Albacete;Total;1998;3.696
02 Albacete;Total;1997;3.712
02 Albacete;Total;1996;3.799
02 Albacete;Total;1995;3.894
02 Albacete;Total;1994;3.942
02 Albacete;Total;1993;3.891
02 Albacete;Total;1992;4.158
02 Albacete;Total;1991;4.074
02 Albacete;Total;1990;4.333
02 Albacete;Total;1989;4.280
02 Albacete;Total;1988;4.193
02 Albacete;Total;1987;4.466
02 Albacete;Total;1986;4.391
02 Albacete;Total;1985;4.415
02 Albacete;Total;1984;4.766
02 Albacete;Total;1983;4.839
02 Albacete;Total;1982;5.164
02 Albacete;Total;1981;5.072
02 Albacete;Total;1980;5.208
02 Albacete;Total;1979;5.454
02 Albacete;Total;1978;5.869
02 Albacete;Total;1977;5.700
02 Albacete;Total;1976;6.069
02 Albacete;Total;1975;5.927
02 Albacete;Hombres;2022;1.406
02 Albacete;Hombres;2021;1.449
02 Albacete;Hombres;2020;1.410
02 Albacete;Hombres;2019;1.487
02 Albacete;Hombres;2018;1.583
02 Albacete;Hombres;2017;1.685
02 Albacete;Hombres;2016;1.746
02 Albacete;Hombres;2015;1.818
02 Albacete;Hombres;2014;1.883
02 Albacete;Hombres;2013;1.896
02 Albacete;Hombres;2012;1.861
02 Albacete;Hombres;2011;2.078
02 Albacete;Hombres;2010;2.057
02 Albacete;Hombres;2009;2.114
02 Albacete;Hombres;2008;2.122
02 Albacete;Hombres;2007;1.922
02 Albacete;Hombres;2006;2.079
02 Albacete;Hombres;2005;1.964
02 Albacete;Hombres;2004;1.943
02 Albacete;Hombres;2003;1.982
02 Albacete;Hombres;2002;1.862
02 Albacete;Hombres;2001;1.838
02 Albacete;Hombres;2000;1.869
02 Albacete;Hombres;1999;1.909
02 Albacete;Hombres;1998;1.906
02 Albacete;Hombres;1997;1.917
02 Albacete;Hombres;1996;2.004
02 Albacete;Hombres;1995;2.044
02 Albacete;Hombres;1994;1.998
02 Albacete;Hombres;1993;2.050
02 Albacete;Hombres;1992;2.108
02 Albacete;Hombres;1991;2.084
02 Albacete;Hombres;1990;2.265
02 Albacete;Hombres;1989;2.201
02 Albacete;Hombres;1988;2.175
02 Albacete;Hombres;1987;2.286
02 Albacete;Hombres;1986;2.268
02 Albacete;Hombres;1985;2.311
02 Albacete;Hombres;1984;2.483
02 Albacete;Hombres;1983;2.595
02 Albacete;Hombres;1982;2.739
02 Albacete;Hombres;1981;2.627
02 Albacete;Hombres;1980;2.685
02 Albacete;Hombres;1979;2.817
02 Albacete;Hombres;1978;3.085
02 Albacete;Hombres;1977;2.958
02 Albacete;Hombres;1976;3.134
02 Albacete;Hombres;1975;3.072
02 Albacete;Mujeres;2022;1.292
02 Albacete;Mujeres;2021;1.341
02 Albacete;Mujeres;2020;1.363
